Protein 1,Protein 2,LIA,Protein 1,Protein 2,Binary_Label
HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,4441,HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,1.0
HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,2147,HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,0.0
KALLIKREIN_4,calpastatin,3577,KALLIKREIN_4,calpastatin,0.0
KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,5890,KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,1.0
METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,5059,METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.0
METALLOPROTEINASE,upain_1_w3a,2566,METALLOPROTEINASE,upain_1_w3a,0.0
MIROLYSIN,mupain_1_17,2884,MIROLYSIN,mupain_1_17,0.0
MIROLYSIN,putative_lipoprotein,3241,MIROLYSIN,putative_lipoprotein,1.0
NS3_4A_PROTEASE,product_trif,4207,NS3_4A_PROTEASE,product_trif,1.0
NS3_PROTEASE,ns4a_peptide,4832,NS3_PROTEASE,ns4a_peptide,1.0
PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,4684,PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,1.0
PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,5634,PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,0.0
PROTEINASE_K,lactoferrin,3755,PROTEINASE_K,lactoferrin,1.0
RENIN,aspartic_peptidase_inhibitor_1,3377,RENIN,aspartic_peptidase_inhibitor_1,1.0
RENIN,aspartic_peptidase_inhibitor_2,3242,RENIN,aspartic_peptidase_inhibitor_2,1.0
RENIN,aspartic_peptidase_inhibitor_3,3454,RENIN,aspartic_peptidase_inhibitor_3,1.0
RENIN,bradykinin_potentiating_peptide_b,2641,RENIN,bradykinin_potentiating_peptide_b,0.0
RENIN,hirugen,2418,RENIN,hirugen,0.0
RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,2155,RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,0.0
RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,1801,RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,1.0
SERINE_PROTEASE_NS3,cp5_46_a_peptide,6930,SERINE_PROTEASE_NS3,cp5_46_a_peptide,1.0
ST14_PROTEIN,pvi,3877,ST14_PROTEIN,pvi,0.0
ST14_PROTEIN,trypsin_inhibitor_1,6748,ST14_PROTEIN,trypsin_inhibitor_1,1.0
SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,3516,SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.0
SUBTILISIN_LIKE_PROTEASE,substrate_analogue,4176,SUBTILISIN_LIKE_PROTEASE,substrate_analogue,1.0
THERMOLYSIN,pvi,4232,THERMOLYSIN,pvi,0.0
THROMBIN,aspartic_peptidase_inhibitor_1,2844,THROMBIN,aspartic_peptidase_inhibitor_1,0.0
THROMBIN,decapeptide_inhibitor,5296,THROMBIN,decapeptide_inhibitor,1.0
TRYPSIN,pep4,2942,TRYPSIN,pep4,0.0
TRYPSIN,trypsin_inhibitor_1,6244,TRYPSIN,trypsin_inhibitor_1,1.0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,5727,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,1.0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,3693,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,7770,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,4614,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,2445,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,5927,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,1.0
