Protein 1,Protein 2,ipTM,Protein 1,Protein 2,Binary_Label
PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,0.942,PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,1.0
PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,0.652,PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,0.0
PROTEINASE_K,lactoferrin,0.736,PROTEINASE_K,lactoferrin,1.0
RENIN,aspartic_peptidase_inhibitor_1,0.569,RENIN,aspartic_peptidase_inhibitor_1,1.0
RENIN,aspartic_peptidase_inhibitor_2,0.608,RENIN,aspartic_peptidase_inhibitor_2,1.0
RENIN,aspartic_peptidase_inhibitor_3,0.57,RENIN,aspartic_peptidase_inhibitor_3,1.0
RENIN,bradykinin_potentiating_peptide_b,0.494,RENIN,bradykinin_potentiating_peptide_b,0.0
RENIN,hirugen,0.463,RENIN,hirugen,0.0
RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,0.656,RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,0.0
RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,0.55,RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,1.0
SERINE_PROTEASE_NS3,cp5_46_a_peptide,0.867,SERINE_PROTEASE_NS3,cp5_46_a_peptide,1.0
ST14_PROTEIN,pvi,0.723,ST14_PROTEIN,pvi,0.0
ST14_PROTEIN,trypsin_inhibitor_1,0.958,ST14_PROTEIN,trypsin_inhibitor_1,1.0
SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.545,SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.0
SUBTILISIN_LIKE_PROTEASE,substrate_analogue,0.678,SUBTILISIN_LIKE_PROTEASE,substrate_analogue,1.0
THERMOLYSIN,pvi,0.686,THERMOLYSIN,pvi,0.0
THROMBIN,aspartic_peptidase_inhibitor_1,0.582,THROMBIN,aspartic_peptidase_inhibitor_1,0.0
THROMBIN,decapeptide_inhibitor,0.949,THROMBIN,decapeptide_inhibitor,1.0
TRYPSIN,pep4,0.67,TRYPSIN,pep4,0.0
TRYPSIN,trypsin_inhibitor_1,0.965,TRYPSIN,trypsin_inhibitor_1,1.0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,0.846,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,1.0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,0.778,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,0.919,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,0.84,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,0.526,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,0.957,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,1.0
