Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,Distances,SASA,Change in SASA,MSA_depth_inhibitors,MSA_depth_peptidase
papain,Thermolysin_3085,0.241,2288.6,0.4648,0.9256,0.557,93.325,5.25217264,0,0,11,47245
papain,M36_267,0.2862,2235.6,0.4612,0.9208,0.5532,92.976,4.51956426,0,0,12,47245
papain,Pepsin_840,0.2588,2759.2,0.4612,0.917,0.552,92.472,6.27508582,0.13262278,0.87263311,10,47245
papain,Thermolysin_358,0.2346,2280.8,0.461,0.9246,0.5538,93.072,4.7536238,0,0,3,47245
papain,S8B_1779,0.2498,2680.2,0.4586,0.9192,0.5506,92.6094,4.92650334,0,0,15,47245
papain,S8B_512,0.2642,2470,0.4582,0.9214,0.551,92.656,4.65653272,0.096287419,0.633553223,7,47245
papain,Pepsin_224,0.2888,2776.6,0.4572,0.9184,0.5492,93.0916,6.10242612,0.85035212,5.595158049,201,47245
papain,Trypsin_3075,0.2694,2876.6,0.4572,0.915,0.549,92.015,5.82646378,0,0,9,47245
papain,Thermolysin_1,0.2432,3103,0.454,0.915,0.546,91.588,5.42905398,0,0,8,47245
papain,S8B_543,0.2838,2449,0.4534,0.9188,0.5464,93.08,4.94536016,0,0,5,47245
papain,S8B_3165,0.2594,3026.8,0.453,0.914,0.5448,91.545,4.56925404,0.057834984,0.38054339,33,47245
papain,S8B_1726,0.2902,3006.2,0.4474,0.912,0.5402,92.065,5.14328804,0,0,489,47245
papain,Thermolysin_1225,0.2196,2307.4,0.4474,0.924,0.543,93.033,4.95180066,0,0,8,47245
papain,S8B_30,0.23,2666.6,0.4468,0.9148,0.5402,91.7942,5.00803256,0,0,14,47245
papain,M36_70,0.208,2334.6,0.4452,0.9246,0.5414,93.118,5.68334956,0.300915977,1.979970896,89,47245
papain,Pepsin_2208,0.2354,2476.4,0.4444,0.9168,0.539,92.4624,5.1854167,0,0,3,47245
papain,S8B_1414,0.2764,2338.4,0.4436,0.915,0.5382,92.8358,5.93725044,0,0,12,47245
papain,Thermolysin_3395,0.2488,2660,0.4432,0.9122,0.537,91.8186,4.93599172,0,0,13,47245
papain,Trypsin_2494,0.2436,2341.6,0.4428,0.9196,0.5382,92.8792,5.62526206,0,0,26,47245
papain,Pepsin_1890,0.2636,2482,0.442,0.9226,0.538,92.4926,4.69543666,0.430475252,2.832446716,1176,47245
papain,M36_102,0.2892,2225.6,0.4414,0.9132,0.5358,92.4282,5.2775256,0,0,10,47245
papain,Trypsin_2681,0.2192,2487.8,0.441,0.9186,0.5362,92.472,5.56386096,0.051327026,0.33772224,23,47245
papain,S8B_884,0.2744,2248.8,0.4406,0.92,0.5366,93.1128,4.8755315,0,0,2,47245
papain,S8B_2365,0.242,2776.6,0.4386,0.914,0.5336,92.1112,5.6599953,0,0,10,47245
papain,S8B_1280,0.2216,2751,0.438,0.9172,0.5336,91.7796,4.75620566,0.115947772,0.762914674,10,47245
papain,Thermolysin_420,0.2136,1948.2,0.4374,0.9278,0.5356,93.5374,5.44781632,0,0,5,47245
papain,S8B_544,0.2384,2458,0.4354,0.9146,0.5316,92.3028,6.2422651,0.128990697,0.848734679,12,47245
papain,M36_139,0.2344,2000.8,0.435,0.9226,0.5326,93.0292,6.12663894,0,0,8,47245
papain,M36_382,0.2304,2380.2,0.4312,0.9186,0.5288,92.1578,4.4504433,0.214935602,1.414236098,19,47245
papain,S8B_69,0.284,2185.6,0.4224,0.9168,0.5212,92.8178,4.83177274,0,0,7,47245
papain,M36_15,0.1952,2370.2,0.4208,0.9208,0.5208,92.5172,6.1395238,0,0,112,47245
papain,S8B_517,0.2768,2055,0.418,0.9184,0.5182,92.9302,4.80619564,0,0,4,47245
papain,Pepsin_770,0.2328,2195.8,0.4154,0.9182,0.516,92.0114,5.08633646,0.090874516,0.597937337,11,47245
papain,Pepsin_1814,0.2298,2211,0.4122,0.9174,0.5134,92.0736,5.45764434,0,0,2,47245
papain,M36_468,0.2082,3254.2,0.4112,0.9086,0.5104,90.348,4.23250486,0.020403146,0.134248888,7,47245
papain,Pepsin_221,0.2318,2642.4,0.411,0.909,0.5108,91.1602,5.62874622,0.030801167,0.202665921,8,47245
papain,Thermolysin_2311,0.2156,2324.6,0.4034,0.9094,0.5044,92.1552,6.6824084,0.000754805,0.004966476,88,47245
papain,Trypsin_510,0.2028,2549.4,0.4024,0.9102,0.5038,91.4626,5.92403732,0.018103043,0.119114637,61,47245
papain,Trypsin_4265,0.2286,2510.4,0.3968,0.9112,0.4998,91.1422,3.93348708,0,0,328,47245
papain,Pepsin_1703,0.245,2182,0.3948,0.9102,0.4976,91.6956,5.91660962,0,0,8,47245
papain,S8B_1097,0.1942,2674.4,0.394,0.91,0.4976,91.234,6.08212286,0.075107413,0.494192741,31,47245
papain,Pepsin_441,0.2016,2152.8,0.3864,0.9158,0.4922,91.8316,5.3951253,0,0,3,47245
papain,S8B_2253,0.229,2267.4,0.386,0.9096,0.4908,91.4074,5.14360414,0,0,20,47245
papain,M36_284,0.238,2536.8,0.383,0.909,0.488,90.9756,5.08223686,0,0,10,47245
papain,Pepsin_2375,0.1994,2188.2,0.3826,0.9122,0.4884,91.0456,5.18443126,0.115751987,0.761626441,4,47245
papain,Original_9,0.2598,2474,0.3806,0.8978,0.484,90.899,6.00126992,0,0,11,47245
papain,Pepsin_1511,0.1772,2139.8,0.374,0.9154,0.4824,91.7638,4.21724958,0,0,81,47245
papain,M36_8,0.1616,2473.2,0.3732,0.9128,0.4808,91.8596,5.84068678,1.3729226,9.033574152,90,47245
papain,Pepsin_1630,0.1282,2765.6,0.3674,0.9106,0.476,91.9574,7.00600616,1.238889637,8.151662307,122,47245
papain,Original_8,0.1768,3192,0.3634,0.8882,0.4684,88.4924,4.44931652,0,0,14,47245
papain,Thermolysin_777,0.1892,2324,0.3548,0.9048,0.4648,91.03,5.6891116,0.061213146,0.402771061,153,47245
papain,M36_98,0.1526,2202.8,0.3538,0.9068,0.4644,91.3606,7.9764541,1.713270974,11.27300286,6,47245
papain,Pepsin_2081,0.1638,1988.4,0.349,0.9092,0.4608,91.7538,6.7323426,1.558157379,10.25238438,84,47245
papain,saccharopepsin_inh,0.1682,3815,0.3046,0.7904,0.402,80.4966,5.6461074,0,0,42,47245
papain,aspin,0.1042,11881.4,0.303,0.659,0.3744,83.0022,9.86375454,11.20154719,73.70408731,651,47245
papain,sqapi,0.0824,2275.4,0.2818,0.7326,0.3718,84.9732,6.05951766,4.943017129,32.52412902,1546,47245
papain,potato_cathepsin_d_inhibitor,0.0932,933.8,0.2322,0.5838,0.3028,88.4174,7.4914142,5.077332128,33.40789662,3241,47245
papain,BSA,0,0,0.1798,0.7066,0.285,90.7616,13.8729662,14.73227721,96.93563105,5306,47245
