,Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,PDB file path,PKL file path,Distances,SASA,Change in SASA,MSA_depth_peptidase,MSA_depth_inhibitors
papain_and_S8B_884_5,papain,S8B_884,0.262,2060,0.407,0.918,0.509,92.6,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.071796,0.0,0.0,47245,2
papain_and_Trypsin_4654_1,papain,Trypsin_4654,0.566,5585,0.812,0.941,0.837,95.049,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.8181257,0.0,0.0,47245,13
papain_and_Trypsin_4654_2,papain,Trypsin_4654,0.207,3843,0.493,0.914,0.577,91.866,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.9651284,0.0,0.0,47245,13
papain_and_Trypsin_4654_3,papain,Trypsin_4654,0.19,3181,0.401,0.908,0.502,90.924,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,6.108263,0.03567106764478616,0.23470895936824687,47245,13
papain_and_Trypsin_4654_4,papain,Trypsin_4654,0.509,5531,0.763,0.937,0.798,94.949,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.9987497,0.0,0.0,47245,13
papain_and_Trypsin_4654_5,papain,Trypsin_4654,0.149,3015,0.375,0.904,0.48,89.998,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.5109143,0.0,0.0,47245,13
papain_and_Trypsin_2681_1,papain,Trypsin_2681,0.152,2510,0.395,0.917,0.499,92.154,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.147947,0.0,0.0,47245,23
papain_and_Trypsin_2681_2,papain,Trypsin_2681,0.203,2588,0.415,0.917,0.515,92.255,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.1733985,0.0,0.0,47245,23
papain_and_Trypsin_2681_3,papain,Trypsin_2681,0.361,2469,0.543,0.924,0.619,94.052,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.717555,0.0,0.0,47245,23
papain_and_Trypsin_2681_4,papain,Trypsin_2681,0.17,2543,0.403,0.916,0.505,91.301,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,6.215213,0.2566351299101677,1.688611198250873,47245,23
papain_and_Trypsin_2681_5,papain,Trypsin_2681,0.21,2329,0.449,0.919,0.543,92.598,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.5651913,0.0,0.0,47245,23
papain_and_M36_129_1,papain,M36_129,0.433,4026,0.774,0.946,0.808,96.135,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.426216,0.0,0.0,47245,15
papain_and_M36_129_2,papain,M36_129,0.26,2011,0.426,0.923,0.525,92.505,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,4.5324793,0.0,0.0,47245,15
papain_and_M36_129_3,papain,M36_129,0.256,2238,0.459,0.925,0.553,93.137,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,4.5502768,0.0,0.0,47245,15
papain_and_M36_129_4,papain,M36_129,0.243,1956,0.409,0.922,0.512,92.169,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,3.5676248,0.0,0.0,47245,15
papain_and_M36_129_5,papain,M36_129,0.374,3305,0.676,0.938,0.728,94.812,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.279149,0.0,0.0,47245,15
papain_and_Thermolysin_1225_1,papain,Thermolysin_1225,0.266,2630,0.533,0.931,0.613,94.227,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.521594,0.0,0.0,47245,8
papain_and_Thermolysin_1225_2,papain,Thermolysin_1225,0.192,1970,0.388,0.92,0.495,92.373,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.47636,0.0,0.0,47245,8
papain_and_Thermolysin_1225_3,papain,Thermolysin_1225,0.213,2140,0.419,0.922,0.52,92.924,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.1549764,0.0,0.0,47245,8
papain_and_Thermolysin_1225_4,papain,Thermolysin_1225,0.21,2542,0.452,0.924,0.546,92.558,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,3.6060462,0.0,0.0,47245,8
papain_and_Thermolysin_1225_5,papain,Thermolysin_1225,0.217,2255,0.445,0.923,0.541,93.083,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.0000267,0.0,0.0,47245,8
papain_and_Trypsin_3575_1,papain,Trypsin_3575,0.38,4378,0.641,0.932,0.699,95.085,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.9836755,0.0,0.0,47245,8
papain_and_Trypsin_3575_2,papain,Trypsin_3575,0.188,2107,0.365,0.909,0.474,91.412,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,4.996305,0.0,0.0,47245,8
papain_and_Trypsin_3575_3,papain,Trypsin_3575,0.256,2850,0.492,0.917,0.577,92.695,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.7582927,0.0,0.0,47245,8
papain_and_Trypsin_3575_4,papain,Trypsin_3575,0.206,2765,0.422,0.912,0.52,91.098,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.483461,0.0,0.0,47245,8
papain_and_Trypsin_3575_5,papain,Trypsin_3575,0.236,2202,0.419,0.913,0.517,91.798,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,4.839882,0.0,0.0,47245,8
papain_and_M36_456_1,papain,M36_456,0.414,4697,0.652,0.935,0.709,94.792,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.835338,0.0,0.0,47245,2
papain_and_M36_456_2,papain,M36_456,0.195,2048,0.375,0.909,0.482,91.567,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.996416,0.0,0.0,47245,2
papain_and_M36_456_3,papain,M36_456,0.249,2082,0.389,0.911,0.493,91.464,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,6.059737,0.0,0.0,47245,2
papain_and_M36_456_4,papain,M36_456,0.53,5565,0.763,0.942,0.799,95.931,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.9117684,0.0,0.0,47245,2
papain_and_M36_456_5,papain,M36_456,0.25,2192,0.395,0.912,0.498,91.224,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,4.318333,0.0,0.0,47245,2
papain_and_Pepsin_221_1,papain,Pepsin_221,0.256,3716,0.514,0.918,0.595,91.934,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,6.8680477,0.0,0.0,47245,8
papain_and_Pepsin_221_2,papain,Pepsin_221,0.233,2450,0.415,0.909,0.514,91.357,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.7053585,0.0,0.0,47245,8
papain_and_Pepsin_221_3,papain,Pepsin_221,0.285,2768,0.451,0.913,0.544,92.447,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.3097796,0.0,0.0,47245,8
papain_and_Pepsin_221_4,papain,Pepsin_221,0.215,2120,0.339,0.903,0.452,89.978,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.563983,0.1540058335294445,1.0133296060629327,47245,8
papain_and_Pepsin_221_5,papain,Pepsin_221,0.17,2158,0.336,0.902,0.449,90.085,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,4.6965623,0.0,0.0,47245,8
papain_and_S8B_1042_1,papain,S8B_1042,0.439,4119,0.703,0.933,0.749,94.137,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.2879567,0.0,0.0,47245,709
papain_and_S8B_1042_2,papain,S8B_1042,0.267,2577,0.441,0.916,0.536,92.37,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,4.0883517,0.0,0.0,47245,709
papain_and_S8B_1042_3,papain,S8B_1042,0.543,5104,0.801,0.94,0.828,95.728,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.096294,0.0,0.0,47245,709
papain_and_S8B_1042_4,papain,S8B_1042,0.323,3753,0.545,0.925,0.621,93.476,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.2727833,0.0,0.0,47245,709
papain_and_S8B_1042_5,papain,S8B_1042,0.407,3889,0.685,0.929,0.734,93.976,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.3198643,0.0,0.0,47245,709
papain_and_S8B_30_1,papain,S8B_30,0.232,2540,0.459,0.917,0.55,92.401,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.9437623,0.0,0.0,47245,14
papain_and_S8B_30_2,papain,S8B_30,0.189,2530,0.386,0.91,0.491,90.562,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,4.0395455,0.0,0.0,47245,14
papain_and_S8B_30_3,papain,S8B_30,0.245,2796,0.469,0.917,0.558,92.038,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,4.6284733,0.0,0.0,47245,14
papain_and_S8B_30_4,papain,S8B_30,0.26,2820,0.489,0.917,0.575,92.565,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.001343,0.0,0.0,47245,14
papain_and_S8B_30_5,papain,S8B_30,0.224,2647,0.431,0.913,0.527,91.405,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.4270387,0.0,0.0,47245,14
papain_and_Pepsin_716_1,papain,Pepsin_716,0.399,3037,0.647,0.939,0.705,95.577,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,6.6744056,0.0,0.0,47245,6
papain_and_Pepsin_716_2,papain,Pepsin_716,0.29,2153,0.477,0.926,0.566,94.35,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,6.0601172,0.0,0.0,47245,6
papain_and_Pepsin_716_3,papain,Pepsin_716,0.235,2457,0.471,0.925,0.561,92.808,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,6.1614523,0.0,0.0,47245,6
papain_and_Pepsin_716_4,papain,Pepsin_716,0.211,2216,0.428,0.923,0.527,92.218,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,4.4111376,0.0,0.0,47245,6
papain_and_Pepsin_716_5,papain,Pepsin_716,0.403,3259,0.641,0.938,0.7,95.699,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,6.886018,0.0,0.0,47245,6
papain_and_Pepsin_2221_1,papain,Pepsin_2221,0.295,2630,0.475,0.92,0.564,92.692,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.1522636,0.0,0.0,47245,14
papain_and_Pepsin_2221_2,papain,Pepsin_2221,0.438,4672,0.662,0.934,0.716,94.899,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.3502226,0.0,0.0,47245,14
papain_and_Pepsin_2221_3,papain,Pepsin_2221,0.29,3550,0.574,0.924,0.644,93.835,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,7.564899,0.0,0.0,47245,14
papain_and_Pepsin_2221_4,papain,Pepsin_2221,0.636,5535,0.865,0.944,0.881,96.368,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.242539,0.0,0.0,47245,14
papain_and_Pepsin_2221_5,papain,Pepsin_2221,0.441,4822,0.681,0.933,0.731,94.291,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.3869877,0.0,0.0,47245,14
papain_and_Pepsin_2565_1,papain,Pepsin_2565,0.512,5122,0.74,0.942,0.781,95.95,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,6.0023737,0.0,0.0,47245,7
papain_and_Pepsin_2565_2,papain,Pepsin_2565,0.175,2482,0.373,0.91,0.48,90.816,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,4.944638,0.0,0.0,47245,7
papain_and_Pepsin_2565_3,papain,Pepsin_2565,0.309,3079,0.534,0.922,0.612,93.709,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.353345,0.0,0.0,47245,7
papain_and_Pepsin_2565_4,papain,Pepsin_2565,0.356,4177,0.627,0.93,0.688,94.72,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,6.02523,0.0,0.0,47245,7
papain_and_Pepsin_2565_5,papain,Pepsin_2565,0.183,2237,0.366,0.909,0.474,90.444,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,4.6815224,0.0,0.0,47245,7
papain_and_Pepsin_1814_1,papain,Pepsin_1814,0.213,2159,0.398,0.918,0.502,91.544,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,6.2042556,0.0,0.0,47245,2
papain_and_Pepsin_1814_2,papain,Pepsin_1814,0.221,2444,0.432,0.917,0.529,91.807,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.554741,0.0,0.0,47245,2
papain_and_Pepsin_1814_3,papain,Pepsin_1814,0.229,1985,0.37,0.915,0.479,92.183,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.934684,0.0,0.0,47245,2
papain_and_Pepsin_1814_4,papain,Pepsin_1814,0.218,2007,0.379,0.915,0.487,91.549,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,3.5044951,0.0,0.0,47245,2
papain_and_Pepsin_1814_5,papain,Pepsin_1814,0.268,2460,0.482,0.922,0.57,93.285,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,6.090046,0.0,0.0,47245,2
papain_and_Thermolysin_777_1,papain,Thermolysin_777,0.161,2357,0.35,0.907,0.462,90.929,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.6800914,0.0,0.0,47245,153
papain_and_Thermolysin_777_2,papain,Thermolysin_777,0.231,2114,0.347,0.904,0.458,91.571,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,6.2400756,0.0,0.0,47245,153
papain_and_Thermolysin_777_3,papain,Thermolysin_777,0.185,2386,0.371,0.905,0.478,91.083,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.889427,0.030663950620246773,0.2017630650101775,47245,153
papain_and_Thermolysin_777_4,papain,Thermolysin_777,0.205,2731,0.385,0.907,0.489,91.034,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.502174,0.2754017783491143,1.8120922381176094,47245,153
papain_and_Thermolysin_777_5,papain,Thermolysin_777,0.164,2032,0.321,0.901,0.437,90.533,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.13379,0.0,0.0,47245,153
papain_and_Pepsin_1869_1,papain,Pepsin_1869,0.328,3297,0.627,0.936,0.688,94.273,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.716413,0.0,0.0,47245,3
papain_and_Pepsin_1869_2,papain,Pepsin_1869,0.193,2308,0.411,0.922,0.513,92.213,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,4.8725467,0.0,0.0,47245,3
papain_and_Pepsin_1869_3,papain,Pepsin_1869,0.373,3118,0.643,0.936,0.701,95.343,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.116193,0.0,0.0,47245,3
papain_and_Pepsin_1869_4,papain,Pepsin_1869,0.362,2989,0.622,0.935,0.685,95.341,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.2562323,0.0,0.0,47245,3
papain_and_Pepsin_1869_5,papain,Pepsin_1869,0.185,2338,0.418,0.922,0.519,92.122,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,4.2922935,0.2988844734434655,1.9666039837048659,47245,3
papain_and_Trypsin_4530_1,papain,Trypsin_4530,0.428,4633,0.71,0.935,0.755,94.664,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.6600037,0.0,0.0,47245,14
papain_and_Trypsin_4530_2,papain,Trypsin_4530,0.217,2659,0.45,0.915,0.543,92.13,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.5287952,0.0,0.0,47245,14
papain_and_Trypsin_4530_3,papain,Trypsin_4530,0.262,2962,0.495,0.919,0.58,92.846,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,6.187106,0.0,0.0,47245,14
papain_and_Trypsin_4530_4,papain,Trypsin_4530,0.305,3758,0.557,0.923,0.63,93.271,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,6.437935,0.0,0.0,47245,14
papain_and_Trypsin_4530_5,papain,Trypsin_4530,0.365,4353,0.641,0.93,0.699,94.276,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.810536,0.0,0.0,47245,14
papain_and_M36_86_1,papain,M36_86,0.269,2600,0.537,0.931,0.616,94.37,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.920387,0.0,0.0,47245,14
papain_and_M36_86_2,papain,M36_86,0.269,2497,0.521,0.928,0.603,93.911,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.243494,0.0,0.0,47245,14
papain_and_M36_86_3,papain,M36_86,0.244,2404,0.48,0.926,0.569,92.963,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.339509,0.0,0.0,47245,14
papain_and_M36_86_4,papain,M36_86,0.303,2927,0.596,0.933,0.664,94.711,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.8791504,0.0,0.0,47245,14
papain_and_M36_86_5,papain,M36_86,0.211,2275,0.448,0.923,0.543,92.608,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.2195168,0.0,0.0,47245,14
papain_and_M36_15_1,papain,M36_15,0.19,2584,0.428,0.923,0.527,92.47,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,4.623497,0.0,0.0,47245,112
papain_and_M36_15_2,papain,M36_15,0.178,2451,0.412,0.92,0.514,92.807,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,6.8540525,0.0,0.0,47245,112
papain_and_M36_15_3,papain,M36_15,0.177,2130,0.386,0.919,0.492,92.204,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,7.186508,0.0,0.0,47245,112
