Protein 1,Protein 2,Max ipTM,Max LIS,Max LIA,Min Distance,Min SASA,Max Change in SASA Ratio
papain,Pepsin_2001,0.709,0.477,4647,3.074739,0.0,0.0
papain,Pepsin_2081,0.366,0.227,2317,4.816656,0.0,0.0
papain,Pepsin_2208,0.515,0.332,2706,4.5415435,0.0,0.0
papain,Pepsin_221,0.514,0.285,3716,4.6965623,0.0,0.0
papain,Pepsin_2221,0.865,0.636,5535,5.1522636,0.0,0.0
papain,Pepsin_224,0.49,0.314,3148,5.2843423,0.0,0.0
papain,Pepsin_2320,0.846,0.573,5201,5.0496407,0.0,0.0
papain,Pepsin_2375,0.404,0.225,2331,3.059904,0.0,0.0
papain,Pepsin_2565,0.74,0.512,5122,4.6815224,0.0,0.0
papain,Pepsin_405,0.525,0.289,3276,3.5493162,0.0,0.0
papain,Pepsin_441,0.411,0.226,2309,4.174504,0.0,0.0
papain,Pepsin_716,0.647,0.403,3259,4.4111376,0.0,0.0
papain,Pepsin_770,0.517,0.298,2859,3.6801188,0.0,0.0
papain,Pepsin_840,0.59,0.335,3862,4.3043466,0.0,0.0
papain,Pepsin_909,0.678,0.434,4743,5.8395925,0.0,0.0
papain,S8B_1042,0.801,0.543,5104,4.0883517,0.0,0.0
papain,S8B_1071,0.63,0.4,3779,4.5982184,0.0,0.0
papain,S8B_1097,0.419,0.221,2931,5.807525,0.0,0.0
papain,S8B_1280,0.53,0.273,3344,3.7558465,0.0,0.0
papain,S8B_1357,0.584,0.402,3966,4.2514877,0.0,0.0
papain,S8B_1414,0.524,0.307,3096,5.6140223,0.0,0.0
papain,S8B_1664,0.855,0.619,5386,4.495316,0.0,0.0
papain,S8B_1726,0.565,0.354,4486,4.4842424,0.0,0.0
papain,S8B_1779,0.53,0.276,3339,4.629758,0.0,0.0
papain,S8B_1913,0.87,0.613,5870,5.3203297,0.0,0.0
papain,S8B_2253,0.451,0.261,2768,4.3652225,0.0,0.0
papain,S8B_2365,0.483,0.274,3141,5.1102586,0.0,0.0
papain,S8B_2791,0.701,0.462,4188,4.7651606,0.0,0.0
papain,S8B_2829,0.701,0.433,3483,4.9746356,0.0,0.0
papain,S8B_30,0.489,0.26,2820,4.0395455,0.0,0.0
papain,S8B_3054,0.808,0.576,4689,5.7044735,0.0,0.0
papain,S8B_3165,0.837,0.586,5779,2.5041518,0.0,0.0
papain,S8B_3196,0.597,0.364,3835,4.655859,0.0,0.0
papain,S8B_512,0.584,0.316,3263,3.9674394,0.0,0.0
papain,S8B_517,0.46,0.294,2323,4.391353,0.0,0.0
papain,S8B_543,0.488,0.303,2621,4.673478,0.0,0.0
papain,S8B_544,0.473,0.268,2697,4.9166946,0.0,0.0
papain,S8B_69,0.452,0.302,2484,4.5369563,0.0,0.0
papain,S8B_77,0.663,0.403,4333,4.612527,0.0,0.0
papain,S8B_884,0.469,0.287,2491,4.2381186,0.0,0.0
papain,Thermolysin_1,0.536,0.305,3745,4.464252,0.0,0.0
papain,Thermolysin_1166,0.697,0.429,4573,5.3972077,0.0,0.0
papain,Thermolysin_1225,0.533,0.266,2630,3.6060462,0.0,0.0
papain,Thermolysin_1445,0.525,0.265,2705,3.9607985,0.0,0.0
papain,Thermolysin_164,0.701,0.415,5246,4.587558,0.0,0.0
papain,Thermolysin_1713,0.539,0.345,3274,4.939605,0.0,0.0
papain,Thermolysin_2182,0.746,0.45,4744,5.002447,0.0,0.0
papain,Thermolysin_2311,0.633,0.412,3236,6.170706,0.0,0.0
papain,Thermolysin_3085,0.553,0.28,2914,3.7362678,0.0,0.0
papain,Thermolysin_3395,0.478,0.294,2932,4.3388886,0.0,0.0
papain,Thermolysin_350,0.646,0.34,3555,4.4542527,0.0,0.0
papain,Thermolysin_358,0.651,0.336,3359,3.794011,0.0,0.0
papain,Thermolysin_420,0.496,0.253,2158,4.7495418,0.0,0.0
papain,Thermolysin_63,0.505,0.305,2584,3.9545045,0.0,0.0
papain,Thermolysin_777,0.385,0.231,2731,5.13379,0.0,0.0
papain,Trypsin_1567,0.649,0.37,3509,5.0965385,0.0,0.0
papain,Trypsin_2373,0.75,0.48,4461,4.85386,0.0,0.0
papain,Trypsin_2494,0.59,0.36,3336,5.3581567,0.0,0.0
papain,Trypsin_2681,0.543,0.361,2588,5.147947,0.0,0.0
papain,Trypsin_3075,0.605,0.383,3953,4.1031475,0.0,0.0
papain,Trypsin_3575,0.641,0.38,4378,4.839882,0.0,0.0
papain,Trypsin_4265,0.487,0.301,3197,3.1197703,0.0,0.0
papain,Trypsin_4530,0.71,0.428,4633,5.5287952,0.0,0.0
papain,Trypsin_4654,0.812,0.566,5585,5.5109143,0.0,0.0
papain,Trypsin_4901,0.746,0.479,4667,4.9713964,0.0,0.0
papain,Trypsin_510,0.459,0.236,2944,4.638074,0.0,0.0
papain,Trypsin_735,0.738,0.461,4802,2.0979238,0.0,0.0
papain,aspartic_peptide_inhibitor_1,0.573,0.304,2494,4.482877,0.0,0.0
papain,aspartic_peptide_inhibitor_2,0.669,0.351,2431,4.207428,0.0,0.0
papain,aspartic_peptide_inhibitor_3,0.672,0.364,2928,5.128954,0.0,0.0
papain,aspartic_peptide_inhibitor_4,0.637,0.334,3044,5.942431,0.0,0.0
papain,aspartic_peptide_inhibitor_5,0.628,0.331,2922,5.193664,0.0,0.0
papain,aspartic_peptide_inhibitor_6,0.948,0.701,3248,5.760077,0.0,0.0
papain,aspin,0.758,0.393,56517,6.066112,0.3657190517962609,2.406363020109626
papain,cp-113972,0.925,0.658,1977,5.332114,0.0,0.0
papain,h-256_peptide,0.573,0.295,1598,5.2009706,0.0,0.0
papain,pepstatin_a,0.578,0.306,1578,4.882632,0.0,0.0
papain,potato_cathepsin_d_inhibitor,0.346,0.185,1945,5.682132,0.0,0.0
papain,saccharopepsin_inh,0.379,0.229,6766,4.535249,0.0,0.0
papain,sqapi,0.594,0.259,8577,4.013783,0.0,0.0
