Protein 1,Protein 2,LIA,Protein 1,Protein 2,Binary_Label
RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,2503,RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.0
RHOMBOID_PROTEASE_GIPG,eqw,1052,RHOMBOID_PROTEASE_GIPG,eqw,0.0
RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,2057,RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,1.0
SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,1703,SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,1253,SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,1841,SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,1.0
SUBTILISIN_BPN,h77,2646,SUBTILISIN_BPN,h77,0.0
SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,2082,SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,1.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,786,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,1769,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,1.0
THERMOLYSIN,amyloid_beta_a4_protein_2,2726,THERMOLYSIN,amyloid_beta_a4_protein_2,1.0
TRYPSIN,3c_like_proteinase_inhibitor,2065,TRYPSIN,3c_like_proteinase_inhibitor,0.0
TRYPSIN,3mer_peptide,1309,TRYPSIN,3mer_peptide,1.0
TRYPSIN,9mer_peptide,4014,TRYPSIN,9mer_peptide,1.0
TRYPSIN,amyloid_beta_a4_protein_2,1211,TRYPSIN,amyloid_beta_a4_protein_2,0.0
TRYPSIN,cp_113972,1452,TRYPSIN,cp_113972,0.0
TRYPSIN,trypsin_inhibitor_2,1622,TRYPSIN,trypsin_inhibitor_2,1.0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,1557,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,2111,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,2061,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,1053,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.0
