Protein 1,Protein 2,Max ipTM,Max LIS,Max LIA,Min Distance,Min SASA,Max Change in SASA Ratio
thermolysin,Pepsin_221,0.47,0.202,4457,6.58142,0.225738622253947,1.6454451654927256
thermolysin,Pepsin_2221,0.643,0.344,5836,6.535979,0.0,0.0
thermolysin,Pepsin_224,0.535,0.25,4553,5.743969,0.0,0.0
thermolysin,Pepsin_2320,0.52,0.217,4159,7.037772,0.0,0.0
thermolysin,Pepsin_2375,0.501,0.209,4577,6.08622,0.0,0.0
thermolysin,Pepsin_2565,0.504,0.214,4376,6.27499,0.0,0.0
thermolysin,Pepsin_405,0.496,0.249,4044,6.0493135,0.0,0.0
thermolysin,Pepsin_441,0.473,0.198,3859,5.991866,0.0,0.0
thermolysin,Pepsin_716,0.647,0.321,4684,6.3622217,0.0,0.0
thermolysin,Pepsin_770,0.508,0.209,4456,4.197174,0.0,0.0
thermolysin,Pepsin_840,0.487,0.196,4599,6.6363626,0.0,0.0
thermolysin,Pepsin_909,0.466,0.189,4160,7.2831354,0.0,0.0
thermolysin,S8B_1042,0.517,0.244,4748,5.5299163,0.0,0.0
thermolysin,S8B_1071,0.523,0.23,4178,4.9557643,0.0,0.0
thermolysin,S8B_1097,0.493,0.203,4918,7.5581055,2.840482642279221,20.70473534717706
thermolysin,S8B_1280,0.488,0.173,4491,6.506426,0.0,0.0
thermolysin,S8B_1357,0.518,0.226,5120,5.371186,0.0,0.0
thermolysin,S8B_1414,0.489,0.212,4153,6.945586,0.0,0.0
thermolysin,S8B_1664,0.484,0.235,4561,5.4175973,0.0,0.0
thermolysin,S8B_1726,0.505,0.244,4913,4.836665,0.0,0.0
thermolysin,S8B_1779,0.513,0.229,4150,5.8865423,0.0,0.0
thermolysin,S8B_1913,0.493,0.229,3911,4.158696,0.0,0.0
thermolysin,S8B_2253,0.505,0.266,4070,5.037806,0.0,0.0
thermolysin,S8B_2365,0.47,0.224,4124,5.9383364,0.0,0.0
thermolysin,S8B_2791,0.481,0.235,4760,4.800412,0.0,0.0
thermolysin,S8B_2829,0.57,0.252,3667,7.134956,0.0,0.0
thermolysin,S8B_30,0.538,0.216,4945,5.7882867,0.0,0.0
thermolysin,S8B_3054,0.548,0.225,4192,6.1773105,0.0,0.0
thermolysin,S8B_3165,0.476,0.205,4488,6.5023475,0.0,0.0
thermolysin,S8B_3196,0.542,0.265,4625,7.2609534,0.0,0.0
thermolysin,S8B_512,0.55,0.242,4405,5.2442966,0.0,0.0
thermolysin,S8B_517,0.51,0.223,4029,5.028059,0.0,0.0
thermolysin,S8B_543,0.494,0.22,3974,6.2241335,0.0,0.0
thermolysin,S8B_544,0.456,0.208,4274,6.2163935,0.9234923334464282,6.731484316979578
thermolysin,S8B_69,0.531,0.239,4396,5.616897,0.0,0.0
thermolysin,S8B_77,0.501,0.228,3932,5.2772846,0.0,0.0
thermolysin,S8B_884,0.527,0.236,3953,4.5459814,0.0,0.0
thermolysin,Thermolysin_1,0.518,0.183,5335,5.002667,0.0,0.0
thermolysin,Thermolysin_1166,0.496,0.204,4096,6.5422664,0.0,0.0
thermolysin,Thermolysin_1225,0.569,0.217,3931,8.600691,4.413259960283565,32.16896246288771
thermolysin,Thermolysin_1445,0.503,0.219,3791,7.0555725,0.0,0.0
thermolysin,Thermolysin_164,0.53,0.229,4965,7.2621217,0.0,0.0
thermolysin,Thermolysin_1713,0.494,0.216,4208,5.4555926,0.0,0.0
thermolysin,Thermolysin_2182,0.507,0.21,4242,5.317509,0.0,0.0
thermolysin,Thermolysin_2311,0.457,0.145,4855,5.6903725,0.0,0.0
thermolysin,Thermolysin_3085,0.777,0.471,6058,6.857153,0.0,0.0
thermolysin,Thermolysin_3395,0.468,0.212,4208,5.503222,0.0,0.0
thermolysin,Thermolysin_350,0.561,0.206,4403,6.2885504,0.0,0.0
thermolysin,Thermolysin_358,0.551,0.212,3836,6.5499806,0.0,0.0
thermolysin,Thermolysin_420,0.733,0.382,4405,6.5565987,0.0,0.0
thermolysin,Thermolysin_63,0.544,0.258,4011,6.2125216,0.0,0.0
thermolysin,Thermolysin_777,0.466,0.2,4105,6.9652076,0.0,0.0
thermolysin,Trypsin_1567,0.502,0.197,4685,4.5678306,0.0,0.0
thermolysin,Trypsin_2373,0.504,0.217,5398,5.8673544,0.0,0.0
thermolysin,Trypsin_2494,0.604,0.324,4828,6.5878778,0.0,0.0
thermolysin,Trypsin_2681,0.591,0.273,4580,5.698854,0.0,0.0
thermolysin,Trypsin_3075,0.475,0.206,4380,5.055954,0.0,0.0
thermolysin,Trypsin_3575,0.518,0.196,4753,6.6520786,1.1767133546503403,8.57725311356761
thermolysin,Trypsin_4265,0.745,0.467,5613,6.4234767,0.0,0.0
thermolysin,Trypsin_4530,0.567,0.259,5223,5.553752,0.0,0.0
thermolysin,Trypsin_4654,0.488,0.203,5678,5.307843,0.0,0.0
thermolysin,Trypsin_4901,0.545,0.23,4744,5.589075,0.0,0.0
thermolysin,Trypsin_510,0.735,0.447,5214,6.6400986,0.0,0.0
thermolysin,Trypsin_735,0.515,0.233,4417,5.221167,0.0,0.0
thermolysin,aspartic_peptide_inhibitor_1,0.697,0.34,4154,6.3915186,0.0,0.0
thermolysin,aspartic_peptide_inhibitor_2,0.802,0.445,4180,7.09532,0.0,0.0
thermolysin,aspartic_peptide_inhibitor_3,0.591,0.261,3521,6.874041,0.0,0.0
thermolysin,aspartic_peptide_inhibitor_4,0.634,0.305,4085,6.3068347,0.0,0.0
thermolysin,aspartic_peptide_inhibitor_5,0.651,0.321,4343,6.5771565,0.0,0.0
thermolysin,aspartic_peptide_inhibitor_6,0.85,0.489,3976,6.849811,0.0,0.0
thermolysin,aspin,0.26,0.026,450,12.211665,12.347391322537264,90.00212349688216
thermolysin,cp-113972,0.834,0.457,2379,6.9599767,0.0,0.0
thermolysin,h-256_peptide,0.876,0.516,3490,7.0231385,0.0,0.0
thermolysin,pepstatin_a,0.691,0.326,2449,5.5730715,0.0,0.0
thermolysin,potato_cathepsin_d_inhibitor,0.433,0.082,10401,7.6621227,0.0,0.0
thermolysin,saccharopepsin_inh,0.636,0.361,9047,8.485609,8.019577047596652,58.4559883927156
thermolysin,sqapi,0.375,0.145,8535,8.0479355,0.8769537949479409,6.392257416341869
