,Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,PDB file path,PKL file path,Distances,SASA,Change in SASA,MSA_depth_peptidase,MSA_depth_inhibitors
thermolysin_and_M36_232_2,thermolysin,M36_232,0.218,3274,0.499,0.945,0.588,95.173,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,6.685529,0.0,0.0,27893,7
thermolysin_and_M36_232_3,thermolysin,M36_232,0.228,3242,0.502,0.946,0.59,95.051,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,6.476284,0.0,0.0,27893,7
thermolysin_and_M36_232_4,thermolysin,M36_232,0.215,2981,0.475,0.946,0.569,94.889,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,8.05617,0.5656670682843421,4.123238343059568,27893,7
thermolysin_and_M36_232_5,thermolysin,M36_232,0.223,3391,0.503,0.947,0.592,94.878,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,6.5840898,0.0,0.0,27893,7
thermolysin_and_Thermolysin_1713_1,thermolysin,Thermolysin_1713,0.209,4208,0.494,0.941,0.583,93.958,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.5076356,0.10878564136591076,0.7929560563154076,27893,16
thermolysin_and_Thermolysin_1713_2,thermolysin,Thermolysin_1713,0.196,3526,0.446,0.936,0.544,94.064,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.4555926,0.0,0.0,27893,16
thermolysin_and_Thermolysin_1713_3,thermolysin,Thermolysin_1713,0.208,3619,0.454,0.938,0.551,93.93,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,6.7908936,0.0,0.0,27893,16
thermolysin_and_Thermolysin_1713_4,thermolysin,Thermolysin_1713,0.208,3852,0.462,0.939,0.558,93.704,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,7.0854816,0.0,0.0,27893,16
thermolysin_and_Thermolysin_1713_5,thermolysin,Thermolysin_1713,0.216,3898,0.47,0.94,0.564,93.912,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.8762603,0.558027402094686,4.067551586082703,27893,16
thermolysin_and_S8B_517_1,thermolysin,S8B_517,0.197,3585,0.481,0.942,0.573,94.473,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,6.1978717,0.0,0.0,27893,4
thermolysin_and_S8B_517_2,thermolysin,S8B_517,0.204,3543,0.473,0.94,0.567,94.27,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,6.467248,0.0,0.0,27893,4
thermolysin_and_S8B_517_3,thermolysin,S8B_517,0.212,3938,0.497,0.942,0.586,94.406,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,7.6315737,1.171487702571151,8.539162494140616,27893,4
thermolysin_and_S8B_517_4,thermolysin,S8B_517,0.209,3757,0.487,0.944,0.578,94.336,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.028059,0.04231036950304325,0.30840709602043337,27893,4
thermolysin_and_S8B_517_5,thermolysin,S8B_517,0.223,4029,0.51,0.945,0.597,94.26,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.3279476,0.0,0.0,27893,4
thermolysin_and_M36_98_1,thermolysin,M36_98,0.17,3536,0.43,0.936,0.531,93.794,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.784353,2.6057953042195647,18.994061551276076,27893,6
thermolysin_and_M36_98_2,thermolysin,M36_98,0.172,3530,0.425,0.933,0.526,93.852,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,7.264354,0.4376505978801025,3.1901056773824807,27893,6
thermolysin_and_M36_98_3,thermolysin,M36_98,0.175,3696,0.434,0.935,0.534,93.925,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,8.552681,0.0,0.0,27893,6
thermolysin_and_M36_98_4,thermolysin,M36_98,0.17,3427,0.424,0.935,0.526,93.535,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,8.580511,1.091509386825765,7.956187672758692,27893,6
thermolysin_and_M36_98_5,thermolysin,M36_98,0.192,3804,0.448,0.937,0.546,93.829,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,8.990637,6.665724674115197,48.58754044839418,27893,6
thermolysin_and_M36_363_1,thermolysin,M36_363,0.213,3744,0.552,0.949,0.631,95.385,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,6.481268,0.0,0.0,27893,10
thermolysin_and_M36_363_2,thermolysin,M36_363,0.211,3756,0.547,0.947,0.627,95.215,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,7.553425,0.8234015475862503,6.001906462469934,27893,10
thermolysin_and_M36_363_3,thermolysin,M36_363,0.212,3798,0.529,0.948,0.613,95.274,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,8.736948,5.238268115342333,38.18257974591685,27893,10
thermolysin_and_M36_363_4,thermolysin,M36_363,0.224,3835,0.558,0.95,0.637,95.392,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,6.7824106,0.0,0.0,27893,10
thermolysin_and_M36_363_5,thermolysin,M36_363,0.218,3718,0.539,0.95,0.621,95.176,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,7.8554616,3.76708371279996,27.458879749252567,27893,10
thermolysin_and_Original_8_1,thermolysin,Original_8,0.164,6362,0.456,0.924,0.549,91.585,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.9346704,3.282000092823674,23.9230271362612,27893,14
thermolysin_and_Original_8_2,thermolysin,Original_8,0.172,4940,0.411,0.921,0.513,91.98,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,8.198009,3.14202354405194,22.90271553358073,27893,14
thermolysin_and_Original_8_3,thermolysin,Original_8,0.143,6429,0.432,0.923,0.53,92.072,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,8.753368,5.8003884324547546,42.27996524859505,27893,14
thermolysin_and_Original_8_4,thermolysin,Original_8,0.174,4589,0.399,0.921,0.504,91.477,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.4374943,0.0,0.0,27893,14
thermolysin_and_Original_8_5,thermolysin,Original_8,0.198,5904,0.468,0.927,0.56,92.169,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,8.966245,6.37138177731228,46.442027679220644,27893,14
thermolysin_and_Trypsin_510_1,thermolysin,Trypsin_510,0.161,3791,0.426,0.936,0.528,93.99,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.612084,2.1537788471504498,15.699240813109192,27893,61
thermolysin_and_Trypsin_510_2,thermolysin,Trypsin_510,0.195,3682,0.433,0.936,0.534,94.151,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,6.6400986,0.0,0.0,27893,61
thermolysin_and_Trypsin_510_3,thermolysin,Trypsin_510,0.395,5082,0.677,0.944,0.731,95.548,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,7.09509,0.0,0.0,27893,61
thermolysin_and_Trypsin_510_4,thermolysin,Trypsin_510,0.447,5214,0.735,0.946,0.777,95.806,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,7.100141,0.0,0.0,27893,61
thermolysin_and_Trypsin_510_5,thermolysin,Trypsin_510,0.162,4070,0.429,0.937,0.531,93.458,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,8.23553,0.3011511620232469,2.195139310614818,27893,61
thermolysin_and_M36_468_1,thermolysin,M36_468,0.192,4914,0.491,0.938,0.581,93.155,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.030683,0.0,0.0,27893,7
thermolysin_and_M36_468_2,thermolysin,M36_468,0.174,5108,0.472,0.934,0.564,92.963,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.657503,0.0,0.0,27893,7
thermolysin_and_M36_468_3,thermolysin,M36_468,0.182,5644,0.498,0.937,0.586,92.966,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,8.564116,7.151183530318435,52.126128218663425,27893,7
thermolysin_and_M36_468_4,thermolysin,M36_468,0.214,5634,0.527,0.939,0.609,93.094,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,4.2479105,0.0,0.0,27893,7
thermolysin_and_M36_468_5,thermolysin,M36_468,0.224,5443,0.523,0.939,0.606,93.242,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,7.0332575,1.2345341589894527,8.99871826656063,27893,7
thermolysin_and_Trypsin_4265_1,thermolysin,Trypsin_4265,0.152,4141,0.457,0.939,0.553,94.143,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,8.173968,0.0,0.0,27893,328
thermolysin_and_Trypsin_4265_2,thermolysin,Trypsin_4265,0.163,3615,0.425,0.937,0.528,94.405,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,6.4234767,0.0,0.0,27893,328
thermolysin_and_Trypsin_4265_3,thermolysin,Trypsin_4265,0.303,5613,0.585,0.946,0.658,95.462,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,7.0258923,0.0,0.0,27893,328
thermolysin_and_Trypsin_4265_4,thermolysin,Trypsin_4265,0.467,5258,0.745,0.948,0.786,95.862,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,7.1244273,0.0,0.0,27893,328
thermolysin_and_Trypsin_4265_5,thermolysin,Trypsin_4265,0.214,4799,0.501,0.942,0.589,93.902,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,9.637277,4.91886963628915,35.854432803332244,27893,328
thermolysin_and_M36_15_1,thermolysin,M36_15,0.211,4013,0.526,0.948,0.61,94.86,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.7772427,0.1606831434320154,1.171245305284754,27893,112
thermolysin_and_M36_15_2,thermolysin,M36_15,0.181,3723,0.481,0.945,0.574,94.884,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,8.906261,2.939319215566507,21.42517104429264,27893,112
thermolysin_and_M36_15_3,thermolysin,M36_15,0.209,3904,0.514,0.947,0.6,94.967,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,7.8213563,2.2401729567931215,16.32898138926395,27893,112
thermolysin_and_M36_15_4,thermolysin,M36_15,0.233,4012,0.534,0.948,0.617,95.108,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,7.454196,0.0,0.0,27893,112
thermolysin_and_M36_15_5,thermolysin,M36_15,0.19,3815,0.487,0.946,0.579,94.568,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,8.581447,5.128549350958805,37.382822005676836,27893,112
thermolysin_and_M36_86_1,thermolysin,M36_86,0.195,3783,0.514,0.947,0.601,94.983,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.627595,0.551079204664741,4.016905056233989,27893,14
thermolysin_and_M36_86_2,thermolysin,M36_86,0.201,3469,0.488,0.944,0.579,94.808,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,6.7506766,0.8769374579984872,6.3921383336867645,27893,14
thermolysin_and_M36_86_3,thermolysin,M36_86,0.272,3838,0.585,0.949,0.658,95.548,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,6.5518394,0.0,0.0,27893,14
thermolysin_and_M36_86_4,thermolysin,M36_86,0.221,3314,0.496,0.947,0.586,94.651,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,7.161761,3.1485722115891353,22.950449825709857,27893,14
thermolysin_and_M36_86_5,thermolysin,M36_86,0.459,5867,0.736,0.958,0.78,97.024,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,7.3249416,0.0,0.0,27893,14
thermolysin_and_Pepsin_1511_1,thermolysin,Pepsin_1511,0.189,4009,0.507,0.945,0.595,94.721,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.751391,1.190755588713182,8.679609218698026,27893,81
thermolysin_and_Pepsin_1511_2,thermolysin,Pepsin_1511,0.164,3661,0.46,0.941,0.557,94.63,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,7.9434075,0.46287822189099326,3.3739938908885,27893,81
thermolysin_and_Pepsin_1511_3,thermolysin,Pepsin_1511,0.19,4119,0.492,0.944,0.582,94.477,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,8.251983,0.11062113446732587,0.8063352610782556,27893,81
thermolysin_and_Pepsin_1511_4,thermolysin,Pepsin_1511,0.205,3544,0.469,0.944,0.564,94.298,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,8.119751,2.6159366700538573,19.067983599780288,27893,81
thermolysin_and_Pepsin_1511_5,thermolysin,Pepsin_1511,0.211,4022,0.507,0.945,0.594,94.623,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,7.4844737,0.0,0.0,27893,81
thermolysin_and_Thermolysin_2311_1,thermolysin,Thermolysin_2311,0.145,3492,0.408,0.937,0.514,94.021,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.9481115,0.3195508076722293,2.329257290416425,27893,88
thermolysin_and_Thermolysin_2311_2,thermolysin,Thermolysin_2311,0.06,4525,0.407,0.936,0.513,93.91,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.6903725,0.0,0.0,27893,88
thermolysin_and_Thermolysin_2311_3,thermolysin,Thermolysin_2311,0.134,4855,0.457,0.938,0.553,93.876,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,8.928922,1.5569337323707235,11.348740668931582,27893,88
thermolysin_and_Thermolysin_2311_4,thermolysin,Thermolysin_2311,0.12,4624,0.428,0.937,0.529,93.235,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,8.835444,3.0396134292762387,22.156231717153137,27893,88
thermolysin_and_Thermolysin_2311_5,thermolysin,Thermolysin_2311,0.127,4672,0.434,0.939,0.535,93.653,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,9.989588,4.681829208400263,34.126606956777195,27893,88
thermolysin_and_Trypsin_4901_1,thermolysin,Trypsin_4901,0.221,4506,0.545,0.943,0.625,94.292,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.589075,0.1309919548162531,0.954821450661514,27893,3
thermolysin_and_Trypsin_4901_2,thermolysin,Trypsin_4901,0.23,4512,0.526,0.942,0.609,94.515,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.7814136,0.0,0.0,27893,3
thermolysin_and_Trypsin_4901_3,thermolysin,Trypsin_4901,0.211,4744,0.518,0.942,0.603,94.28,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,6.743618,1.0456630992250469,7.622006700379378,27893,3
thermolysin_and_Trypsin_4901_4,thermolysin,Trypsin_4901,0.224,4676,0.53,0.945,0.613,94.285,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,7.19453,0.04518191634425799,0.3293382633155332,27893,3
thermolysin_and_Trypsin_4901_5,thermolysin,Trypsin_4901,0.22,4718,0.528,0.944,0.611,94.318,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.9732966,0.1509299579333499,1.1001527657507828,27893,3
thermolysin_and_Pepsin_221_1,thermolysin,Pepsin_221,0.191,4177,0.47,0.938,0.564,93.723,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,8.146747,3.3251362674502425,24.23745365879614,27893,8
thermolysin_and_Pepsin_221_2,thermolysin,Pepsin_221,0.202,2520,0.361,0.928,0.474,93.85,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,8.87003,7.650218701898215,55.76367593773755,27893,8
thermolysin_and_Pepsin_221_3,thermolysin,Pepsin_221,0.191,4003,0.432,0.934,0.532,93.508,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,8.619313,0.804582639733379,5.864732412955602,27893,8
thermolysin_and_Pepsin_221_4,thermolysin,Pepsin_221,0.17,3790,0.411,0.934,0.516,93.219,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,6.58142,0.225738622253947,1.6454451654927256,27893,8
thermolysin_and_Pepsin_221_5,thermolysin,Pepsin_221,0.154,4457,0.435,0.935,0.535,93.283,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,8.364118,0.8626365972424612,6.287897056946289,27893,8
thermolysin_and_Pepsin_716_1,thermolysin,Pepsin_716,0.193,3767,0.515,0.947,0.601,94.721,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,8.441542,3.8374082244365866,27.9714864380537,27893,6
thermolysin_and_Pepsin_716_2,thermolysin,Pepsin_716,0.14,3211,0.432,0.943,0.534,94.787,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,8.787245,1.5540803672728962,11.327942031291613,27893,6
thermolysin_and_Pepsin_716_3,thermolysin,Pepsin_716,0.209,4070,0.533,0.947,0.615,94.93,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,6.8214974,0.5409653707607033,3.943183692402531,27893,6
thermolysin_and_Pepsin_716_4,thermolysin,Pepsin_716,0.321,4684,0.647,0.953,0.708,96.318,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,7.337756,0.0,0.0,27893,6
thermolysin_and_Pepsin_716_5,thermolysin,Pepsin_716,0.211,3755,0.532,0.948,0.615,94.854,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,6.3622217,0.0,0.0,27893,6
thermolysin_and_Pepsin_1979_1,thermolysin,Pepsin_1979,0.187,3641,0.5,0.946,0.589,95.012,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.9109435,0.18229555896503574,1.3287816820835028,27893,10
thermolysin_and_Pepsin_1979_2,thermolysin,Pepsin_1979,0.154,3266,0.434,0.941,0.536,94.581,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,7.6630425,4.6466678114383555,33.87030987271926,27893,10
thermolysin_and_Pepsin_1979_3,thermolysin,Pepsin_1979,0.203,4167,0.528,0.946,0.611,94.877,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,7.816729,0.92310056987798,6.7286286892483425,27893,10
thermolysin_and_Pepsin_1979_4,thermolysin,Pepsin_1979,0.234,3872,0.532,0.947,0.615,94.81,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.6159005,0.0,0.0,27893,10
