Protein 1,Protein 2,LIS,Protein 1,Protein 2,Binary_Label
METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.628,METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.0
METALLOPROTEINASE,upain_1_w3a,0.264,METALLOPROTEINASE,upain_1_w3a,0.0
MIROLYSIN,mupain_1_17,0.313,MIROLYSIN,mupain_1_17,0.0
MIROLYSIN,putative_lipoprotein,0.226,MIROLYSIN,putative_lipoprotein,1.0
NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,0.417,NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,1.0
NEUTROPHIL_COLLAGENASE,pep2,0.329,NEUTROPHIL_COLLAGENASE,pep2,0.0
NS3_4A_PROTEASE,eqw,0.258,NS3_4A_PROTEASE,eqw,0.0
NS3_4A_PROTEASE,product_trif,0.524,NS3_4A_PROTEASE,product_trif,1.0
NS3_PROTEASE,ns4a_peptide,0.773,NS3_PROTEASE,ns4a_peptide,1.0
NS3_PROTEASE,pep3,0.495,NS3_PROTEASE,pep3,0.0
PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,0.698,PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,1.0
PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,0.369,PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,0.0
PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,0.578,PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,1.0
PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.216,PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.0
PROTEINASE_K,3c_like_proteinase_inhibitor,0.479,PROTEINASE_K,3c_like_proteinase_inhibitor,0.0
PROTEINASE_K,lactoferrin,0.418,PROTEINASE_K,lactoferrin,1.0
RENIN,aspartic_peptidase_inhibitor_1,0.206,RENIN,aspartic_peptidase_inhibitor_1,1.0
RENIN,aspartic_peptidase_inhibitor_2,0.244,RENIN,aspartic_peptidase_inhibitor_2,1.0
RENIN,aspartic_peptidase_inhibitor_3,0.197,RENIN,aspartic_peptidase_inhibitor_3,1.0
RENIN,bradykinin_potentiating_peptide_b,0.181,RENIN,bradykinin_potentiating_peptide_b,0.0
RENIN,hirugen,0.13,RENIN,hirugen,0.0
RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.206,RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.0
RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,0.337,RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,0.0
RHOMBOID_PROTEASE_GIPG,eqw,0.533,RHOMBOID_PROTEASE_GIPG,eqw,0.0
RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,0.326,RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,1.0
RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,0.645,RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,1.0
SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0.438,SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0.0
SERINE_PROTEASE_NS3,cp5_46_a_peptide,0.699,SERINE_PROTEASE_NS3,cp5_46_a_peptide,1.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0.396,SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,0.69,SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,1.0
ST14_PROTEIN,pvi,0.374,ST14_PROTEIN,pvi,0.0
ST14_PROTEIN,trypsin_inhibitor_1,0.759,ST14_PROTEIN,trypsin_inhibitor_1,1.0
SUBTILISIN_BPN,h77,0.364,SUBTILISIN_BPN,h77,0.0
SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,0.624,SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,1.0
SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.195,SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.0
SUBTILISIN_LIKE_PROTEASE,substrate_analogue,0.328,SUBTILISIN_LIKE_PROTEASE,substrate_analogue,1.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.36,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,0.565,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,1.0
THERMOLYSIN,amyloid_beta_a4_protein_2,0.593,THERMOLYSIN,amyloid_beta_a4_protein_2,1.0
THERMOLYSIN,pvi,0.353,THERMOLYSIN,pvi,0.0
THROMBIN,aspartic_peptidase_inhibitor_1,0.239,THROMBIN,aspartic_peptidase_inhibitor_1,0.0
THROMBIN,decapeptide_inhibitor,0.668,THROMBIN,decapeptide_inhibitor,1.0
TRYPSIN,3c_like_proteinase_inhibitor,0.689,TRYPSIN,3c_like_proteinase_inhibitor,0.0
TRYPSIN,3mer_peptide,0.651,TRYPSIN,3mer_peptide,1.0
TRYPSIN,9mer_peptide,0.792,TRYPSIN,9mer_peptide,1.0
TRYPSIN,amyloid_beta_a4_protein_2,0.347,TRYPSIN,amyloid_beta_a4_protein_2,0.0
TRYPSIN,cp_113972,0.411,TRYPSIN,cp_113972,0.0
TRYPSIN,pep4,0.366,TRYPSIN,pep4,0.0
TRYPSIN,trypsin_inhibitor_1,0.797,TRYPSIN,trypsin_inhibitor_1,1.0
TRYPSIN,trypsin_inhibitor_2,0.603,TRYPSIN,trypsin_inhibitor_2,1.0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.317,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,0.584,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,1.0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,0.522,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,0.0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.695,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.253,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,0.684,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,0.466,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,0.237,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.346,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,0.745,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,1.0
