Protein 1,Protein 2,LIA,Protein 1,Protein 2,Binary_Label
ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,4692,ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.0
ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,6716,ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,1.0
ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,7150,ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.0
BACE,aspartic_peptidase_inhibitor_4,4712,BACE,aspartic_peptidase_inhibitor_4,1.0
BACE,aspartic_peptidase_inhibitor_5,3478,BACE,aspartic_peptidase_inhibitor_5,1.0
BACE,bicyclic_peptide_inhibitor,4868,BACE,bicyclic_peptide_inhibitor,0.0
BACE,pvi,3099,BACE,pvi,0.0
BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,7336,BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,1.0
BETA_ACROSIN_HEAVY_CHAIN,ps1,1662,BETA_ACROSIN_HEAVY_CHAIN,ps1,0.0
BONT_A,jth_nb72_39_inhibitior,3339,BONT_A,jth_nb72_39_inhibitior,1.0
BONT_A,pep6,4084,BONT_A,pep6,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,pep6,575,BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,12512,BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,1.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,2144,CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,1694,CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,1.0
CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,535,CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.0
CALCIUM_DEPENDENT_PROTEASE,calpastatin,3662,CALCIUM_DEPENDENT_PROTEASE,calpastatin,1.0
CANDIDAPEPSIN_3,pepstatin_a,1916,CANDIDAPEPSIN_3,pepstatin_a,1.0
CANDIDAPEPSIN_3,synaptotagmin_2,4157,CANDIDAPEPSIN_3,synaptotagmin_2,0.0
CHYMOSIN,cp_113972,2287,CHYMOSIN,cp_113972,1.0
CHYMOSIN,pep2,3622,CHYMOSIN,pep2,0.0
COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,3682,COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,1.0
COAGULATION_FACTOR_XI,pepstatin_a,2303,COAGULATION_FACTOR_XI,pepstatin_a,0.0
DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,7208,DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0.0
DIPEPTIDYL_PEPTIDASE_3,tynorphin,5735,DIPEPTIDYL_PEPTIDASE_3,tynorphin,1.0
ELASTASE,3c_like_proteinase_inhibitor,1499,ELASTASE,3c_like_proteinase_inhibitor,0.0
ELASTASE,inhibitor_fr901451,2749,ELASTASE,inhibitor_fr901451,1.0
ENDOTHIAPEPSIN,3mer_peptide,1107,ENDOTHIAPEPSIN,3mer_peptide,0.0
ENDOTHIAPEPSIN,eqw,1015,ENDOTHIAPEPSIN,eqw,0.0
ENDOTHIAPEPSIN,h77,3761,ENDOTHIAPEPSIN,h77,1.0
ENDOTHIAPEPSIN,h_256,2373,ENDOTHIAPEPSIN,h_256,1.0
ENDOTHIAPEPSIN,pep2,2627,ENDOTHIAPEPSIN,pep2,0.0
ENDOTHIAPEPSIN,ps1,3266,ENDOTHIAPEPSIN,ps1,1.0
ENDOTHIAPEPSIN,ps2,3143,ENDOTHIAPEPSIN,ps2,1.0
ENDOTHIAPEPSIN,tynorphin,1787,ENDOTHIAPEPSIN,tynorphin,0.0
GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,1038,GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,1.0
GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,1755,GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,0.0
HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,4441,HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,1.0
HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,2147,HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,0.0
KALLIKREIN_4,calpastatin,3577,KALLIKREIN_4,calpastatin,0.0
KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,5890,KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,1.0
METALLOPROTEINASE,ekw,633,METALLOPROTEINASE,ekw,1.0
METALLOPROTEINASE,enw,632,METALLOPROTEINASE,enw,1.0
METALLOPROTEINASE,eqw,639,METALLOPROTEINASE,eqw,1.0
METALLOPROTEINASE,h_256,2304,METALLOPROTEINASE,h_256,0.0
METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,5059,METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.0
METALLOPROTEINASE,upain_1_w3a,2566,METALLOPROTEINASE,upain_1_w3a,0.0
MIROLYSIN,mupain_1_17,2884,MIROLYSIN,mupain_1_17,0.0
MIROLYSIN,putative_lipoprotein,3241,MIROLYSIN,putative_lipoprotein,1.0
NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,587,NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,1.0
NEUTROPHIL_COLLAGENASE,pep2,1507,NEUTROPHIL_COLLAGENASE,pep2,0.0
NS3_4A_PROTEASE,eqw,609,NS3_4A_PROTEASE,eqw,0.0
NS3_4A_PROTEASE,product_trif,4207,NS3_4A_PROTEASE,product_trif,1.0
NS3_PROTEASE,ns4a_peptide,4832,NS3_PROTEASE,ns4a_peptide,1.0
NS3_PROTEASE,pep3,2430,NS3_PROTEASE,pep3,0.0
PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,4684,PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,1.0
PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,5634,PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,0.0
PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,4866,PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,1.0
PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,2448,PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.0
PROTEINASE_K,3c_like_proteinase_inhibitor,2263,PROTEINASE_K,3c_like_proteinase_inhibitor,0.0
PROTEINASE_K,lactoferrin,3755,PROTEINASE_K,lactoferrin,1.0
RENIN,aspartic_peptidase_inhibitor_1,3377,RENIN,aspartic_peptidase_inhibitor_1,1.0
RENIN,aspartic_peptidase_inhibitor_2,3242,RENIN,aspartic_peptidase_inhibitor_2,1.0
RENIN,aspartic_peptidase_inhibitor_3,3454,RENIN,aspartic_peptidase_inhibitor_3,1.0
RENIN,bradykinin_potentiating_peptide_b,2641,RENIN,bradykinin_potentiating_peptide_b,0.0
RENIN,hirugen,2418,RENIN,hirugen,0.0
RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,2503,RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.0
RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,2155,RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,0.0
RHOMBOID_PROTEASE_GIPG,eqw,1052,RHOMBOID_PROTEASE_GIPG,eqw,0.0
RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,1801,RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,1.0
RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,2057,RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,1.0
SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,1703,SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0.0
SERINE_PROTEASE_NS3,cp5_46_a_peptide,6930,SERINE_PROTEASE_NS3,cp5_46_a_peptide,1.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,1253,SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,1841,SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,1.0
ST14_PROTEIN,pvi,3877,ST14_PROTEIN,pvi,0.0
ST14_PROTEIN,trypsin_inhibitor_1,6748,ST14_PROTEIN,trypsin_inhibitor_1,1.0
SUBTILISIN_BPN,h77,2646,SUBTILISIN_BPN,h77,0.0
SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,2082,SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,1.0
SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,3516,SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.0
SUBTILISIN_LIKE_PROTEASE,substrate_analogue,4176,SUBTILISIN_LIKE_PROTEASE,substrate_analogue,1.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,786,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,neutrophil_collagenase_inhibitor,0.0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,1769,SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,peptide_cglr,1.0
THERMOLYSIN,amyloid_beta_a4_protein_2,2726,THERMOLYSIN,amyloid_beta_a4_protein_2,1.0
THERMOLYSIN,pvi,4232,THERMOLYSIN,pvi,0.0
THROMBIN,aspartic_peptidase_inhibitor_1,2844,THROMBIN,aspartic_peptidase_inhibitor_1,0.0
THROMBIN,decapeptide_inhibitor,5296,THROMBIN,decapeptide_inhibitor,1.0
TRYPSIN,3c_like_proteinase_inhibitor,2065,TRYPSIN,3c_like_proteinase_inhibitor,0.0
TRYPSIN,3mer_peptide,1309,TRYPSIN,3mer_peptide,1.0
TRYPSIN,9mer_peptide,4014,TRYPSIN,9mer_peptide,1.0
TRYPSIN,amyloid_beta_a4_protein_2,1211,TRYPSIN,amyloid_beta_a4_protein_2,0.0
TRYPSIN,cp_113972,1452,TRYPSIN,cp_113972,0.0
TRYPSIN,pep4,2942,TRYPSIN,pep4,0.0
TRYPSIN,trypsin_inhibitor_1,6244,TRYPSIN,trypsin_inhibitor_1,1.0
TRYPSIN,trypsin_inhibitor_2,1622,TRYPSIN,trypsin_inhibitor_2,1.0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,1557,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,ps1,0.0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,5727,TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,two_chain_tissue_plasminogen_activator_inhibitor,1.0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,3693,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,beta_acrosin_light_chain,0.0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,2111,UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,2061,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,7770,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,bicyclic_peptide_inhibitor,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,4614,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,mupain_1_17,1.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,2445,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,pep6,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,1053,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,prelamin_a_c,0.0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,5927,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,upain_1_w3a,1.0
