Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,Protein 1,Protein 2,Binary_Label
CARBOXYPEPTIDASE_B,serine_protease_inhibitor_1,0.046166005,5007.136777,0.056862114,0.019519221,0.04918638,1.024153944,CARBOXYPEPTIDASE_B,serine_protease_inhibitor_1,0
CARBOXYPEPTIDASE_B,tci1,0.074604289,1569.433879,0.039946214,0.009643651,0.033671947,1.144912879,CARBOXYPEPTIDASE_B,tci1,1
CATHEPSIN_D,latexin,0.028368997,2038.045583,0.049002041,0.021943108,0.043133514,1.251856501,CATHEPSIN_D,latexin,0
CATHEPSIN_D,potato_cathepsin_d_inhibitor,0.072689064,33756.88505,0.17834433,0.059197128,0.154577812,1.766267052,CATHEPSIN_D,potato_cathepsin_d_inhibitor,1
CATHEPSIN_H,cystatin_A,0.002387467,90.62946541,0.003911521,0.000707107,0.003162278,0.048576743,CATHEPSIN_H,cystatin_A,1
CATHEPSIN_H,kunitz_trypsin_inhibitor_4,0.01118034,7.155417528,0.009027735,0.003701351,0.007924645,0.723896954,CATHEPSIN_H,kunitz_trypsin_inhibitor_4,0
CATHEPSIN_L,falstatin,0.005932959,515.1907414,0.003563706,0.002966479,0.002701851,0.668489566,CATHEPSIN_L,falstatin,1
CATHEPSIN_L,tci1,0.122504286,7149.714631,0.183615903,0.044780576,0.15501387,3.212120748,CATHEPSIN_L,tci1,0
CHYMOTRYPSIN_A,cystatin_B,0.045751503,1457.07275,0.117436366,0.026557485,0.098674718,1.344932415,CHYMOTRYPSIN_A,cystatin_B,0
CHYMOTRYPSIN_A,serine_protease_inhibitor_1,0.040091146,363.5615491,0.012876335,0.008848729,0.012033287,0.273203221,CHYMOTRYPSIN_A,serine_protease_inhibitor_1,1
CP_1,amoebiasin_2,0.00303315,56.04730145,0.003420526,0.001140175,0.002966479,0.063076937,CP_1,amoebiasin_2,1
CP_1,potato_cathepsin_d_inhibitor,0.061969347,738.1654286,0.022221611,0.008677557,0.019646883,0.563704887,CP_1,potato_cathepsin_d_inhibitor,0
CP_2,amoebiasin_2,0.004795832,61.22744483,0.004358899,0.002863564,0.003911521,0.129234283,CP_2,amoebiasin_2,1
CP_2,pancreatic_trypsin_inhibitor,0.247918333,8684.992902,0.2520857,0.056011606,0.212650417,3.323760747,CP_2,pancreatic_trypsin_inhibitor,0
ELASTASE,cmpi-ii,0.023920702,71.69030618,0.012029131,0.002302173,0.010358571,0.462853973,ELASTASE,cmpi-ii,1
ELASTASE,falstatin,0.017253985,5577.081602,0.041805502,0.006819091,0.033655609,0.477929597,ELASTASE,falstatin,0
ELASTASE,potato_cathepsin_d_inhibitor,0.089104994,23621.49065,0.178549713,0.076523199,0.158236216,2.38120249,ELASTASE,potato_cathepsin_d_inhibitor,0
ELASTASE,serine_protease_inhibitor_1,0.03047458,3019.123598,0.050683331,0.018716303,0.044388061,0.499446193,ELASTASE,serine_protease_inhibitor_1,1
KALICREIN,amoebiasin_2,0.033052988,1995.044937,0.074774996,0.009984989,0.061727628,0.83439541,KALICREIN,amoebiasin_2,0
KALICREIN,erwinia_chrysanthemi_inhibitor,0.013881643,397.9516302,0.022764007,0.007563068,0.019932386,1.595439751,KALICREIN,erwinia_chrysanthemi_inhibitor,0
KALICREIN,pancreatic_trypsin_inhibitor,0.00432435,65.6467821,0.00334664,0.002,0.00304959,0.105977356,KALICREIN,pancreatic_trypsin_inhibitor,1
KALLIKREIN,taicotoxin,0.011233877,81.87978994,0.006308724,0.00363318,0.005848077,0.320534398,KALLIKREIN,taicotoxin,1
KEXIN,kexstatin-1,0.007503333,675.1722003,0.00501996,0.00181659,0.004207137,0.249238239,KEXIN,kexstatin-1,1
KEXIN,kininogen_inhibitor_unit_2,0.065545404,1922.950987,0.163131236,0.013509256,0.132613348,2.251329763,KEXIN,kininogen_inhibitor_unit_2,0
MMP_1,amoebiasin_2,0.086914901,17207.53761,0.153574086,0.042080875,0.131109496,1.736779433,MMP_1,amoebiasin_2,0
MMP_1,timp_1,0.046061915,18681.97767,0.01602186,0.047904071,0.018390215,0.808059094,MMP_1,timp_1,1
MMP_3,cystatin_A,0.02423221,1540.23034,0.050355735,0.010310189,0.04216278,1.345833125,MMP_3,cystatin_A,0
MMP_3,timp_1,0.076024338,23344.55837,0.007141428,0.078563987,0.017484279,1.416311865,MMP_3,timp_1,1
PAPAIN,aspin,0.041239544,2491.918578,0.154291283,0.048952017,0.132858195,2.52732493,PAPAIN,aspin,0
PAPAIN,chagasin,0.002280351,214.4698114,0.002949576,0.001095445,0.002345208,0.180346056,PAPAIN,chagasin,1
PAPAIN,cmpi-ii,0.015372053,593.8034186,0.014345731,0.003911521,0.012328828,0.651369097,PAPAIN,cmpi-ii,0
PAPAIN,cystatin_A,0.003391165,255.3883318,0.002792848,0.00148324,0.002792848,0.360712905,PAPAIN,cystatin_A,1
PAPAIN,cystatin_B,0.007893035,67.20119047,0.002701851,0.001643168,0.002408319,0.092388852,PAPAIN,cystatin_B,1
PAPAIN,equistatin,0.03445722,308.7879531,0.018297541,0.007190271,0.015865056,1.585943473,PAPAIN,equistatin,1
PAPAIN,falstatin,0.006164414,457.8900523,0.001414214,0.001870829,0.001581139,0.526740638,PAPAIN,falstatin,1
PAPAIN,serralysin_inh,0.063704788,4062.25446,0.110574862,0.034549964,0.095304774,2.341276831,PAPAIN,serralysin_inh,0
PAPAIN,taicotoxin,0.042770317,1617.697809,0.057935309,0.011781341,0.048720632,1.748021396,PAPAIN,taicotoxin,0
PAPAIN,tci1,0.025203174,2444.373785,0.085198592,0.015336232,0.069359931,1.262393441,PAPAIN,tci1,0
PEPSIN,amoebiasin_2,0.016109004,574.1106165,0.045970643,0.008757854,0.038581083,0.981138471,PEPSIN,amoebiasin_2,0
PEPSIN,aspin,0.230699371,39506.95707,0.295856722,0.097521792,0.255979491,4.921339889,PEPSIN,aspin,1
PEPSIN,ecotin,0.012296341,192.3876295,0.038542185,0.006978539,0.032431466,0.710802715,PEPSIN,ecotin,0
PEPSIN,sqapi,0.225894887,29784.87563,0.280379208,0.07255205,0.2379584,5.499926754,PEPSIN,sqapi,1
PROTEINASE_A,cmpi-ii,0.099252204,10904.02722,0.131357147,0.01977372,0.109516209,1.768930553,PROTEINASE_A,cmpi-ii,0
PROTEINASE_A,proteinase_inhibitor_ia3_peptide,0.003114482,89.36889839,0.00244949,0.001516575,0.00204939,0.142401545,PROTEINASE_A,proteinase_inhibitor_ia3_peptide,1
PROTHROMBIN,prothrombin_inhibitor,0.005147815,213.800608,0.00626099,0.001095445,0.00497996,0.115367673,PROTHROMBIN,prothrombin_inhibitor,1
PROTHROMBIN,smpi,0.054584796,2532.979412,0.085042342,0.021208489,0.072230188,1.311449122,PROTHROMBIN,smpi,0
SACCHAROPEPSIN,cystatin_A,0.15294705,25033.22822,0.241007676,0.059622144,0.204558794,2.757266672,SACCHAROPEPSIN,cystatin_A,0
SACCHAROPEPSIN,saccharopepsin_inh,0.003361547,194.7493261,0.002073644,0.003420526,0.00130384,0.233860001,SACCHAROPEPSIN,saccharopepsin_inh,1
SERRALYSIN,aspin,0,0,0.011058933,0.003563706,0.009523655,1.565013738,SERRALYSIN,aspin,0
SERRALYSIN,erwinia_chrysanthemi_inhibitor,0.007092249,163.0101224,0.002302173,0.00219089,0.001923538,0.069521939,SERRALYSIN,erwinia_chrysanthemi_inhibitor,1
SERRALYSIN,ovomucoid_inhibitor_unit_3,0,0,0.009396808,0.002302173,0.008203658,0.754694441,SERRALYSIN,ovomucoid_inhibitor_unit_3,0
SERRALYSIN,serralysin_inh,0.219424702,34399.38969,0.297674823,0.055617443,0.249033733,2.916442902,SERRALYSIN,serralysin_inh,1
SPOIVFB,amoebiasin_2,0,0,0.050302087,0.025232915,0.044626225,1.780045449,SPOIVFB,amoebiasin_2,0
SPOIVFB,bofa,0.02541653,822.9941069,0.047869615,0.01861451,0.040959736,3.239845012,SPOIVFB,bofa,1
SUBTILISIN_A,calpastatin,0.023479779,1529.090677,0.020099751,0.009549869,0.017412639,0.557468654,SUBTILISIN_A,calpastatin,0
SUBTILISIN_A,chagasin,0.007874008,275.2992917,0.008197561,0.001923538,0.006723095,0.367364669,SUBTILISIN_A,chagasin,0
SUBTILISIN_A,cmpi-ii,0.005147815,59.06945065,0.002236068,0.001224745,0.00181659,0.128424297,SUBTILISIN_A,cmpi-ii,1
SUBTILISIN_A,protease_inhibitor_hpi,0.01479189,15.44344521,0.004207137,0.002073644,0.003847077,0.159645858,SUBTILISIN_A,protease_inhibitor_hpi,1
THERMOLYSIN,impi,0.272897783,18194.57428,0.313978184,0.049499495,0.260968006,2.778380859,THERMOLYSIN,impi,1
THERMOLYSIN,protease_inhibitor_hpi,0.006760178,610.2878829,0.014976648,0.003114482,0.012349089,0.68830916,THERMOLYSIN,protease_inhibitor_hpi,0
THERMOLYSIN,smpi,0.336297041,32658.06843,0.364555483,0.091938566,0.310052899,3.854662022,THERMOLYSIN,smpi,1
THERMOLYSIN,sqapi,0.044019314,12142.29179,0.12173619,0.027270864,0.102880027,2.017877548,THERMOLYSIN,sqapi,0
THROMBIN,rhodniin,0.017161002,244.0436436,0.003316625,0.003535534,0.003209361,0.347992385,THROMBIN,rhodniin,1
THROMBIN,serralysin_inh,0,0,0.023308797,0.004669047,0.019654516,1.512255369,THROMBIN,serralysin_inh,0
TRYPSIN,amoebiasin_2,0.024155745,773.8324754,0.016867128,0.005449771,0.014587666,0.487239879,TRYPSIN,amoebiasin_2,0
TRYPSIN,calpastatin,0.029919893,1374.840973,0.025573424,0.011502174,0.020007499,0.48892975,TRYPSIN,calpastatin,0
TRYPSIN,cystatin_A,0.19196432,17161.1617,0.226807187,0.069940689,0.195475062,2.932223354,TRYPSIN,cystatin_A,0
TRYPSIN,kunitz_trypsin_inhibitor_4,0.013881643,1070.534306,0.010454664,0.002387467,0.008746428,0.253238425,TRYPSIN,kunitz_trypsin_inhibitor_4,1
TRYPSIN,latexin,0.044206334,3535.215128,0.042097506,0.01805547,0.037293431,0.460486482,TRYPSIN,latexin,0
TRYPSIN,ovomucoid_inhibitor_unit_3,0.116817379,3566.624777,0.069399568,0.022862633,0.05825118,1.619376485,TRYPSIN,ovomucoid_inhibitor_unit_3,1
TRYPSIN,pancreatic_trypsin_inhibitor,0.00250998,48.28353757,0.001923538,0.001140175,0.00148324,0.032101402,TRYPSIN,pancreatic_trypsin_inhibitor,1
TRYPSIN,serine_protease_inhibitor_1,0.039348443,696.7144322,0.031893573,0.012012493,0.027535432,0.311864875,TRYPSIN,serine_protease_inhibitor_1,1
TRYPSIN,serralysin_inh,0.088015908,11779.48009,0.144831626,0.04662939,0.125511752,2.775541695,TRYPSIN,serralysin_inh,0
TRYPSIN,smpi,0.109779324,17633.55979,0.20315216,0.063572793,0.175327408,2.878523962,TRYPSIN,smpi,0
TRYPSIN,sqapi,0.035081334,1592.873755,0.026910964,0.005549775,0.02254551,1.47036271,TRYPSIN,sqapi,0
TRYPSIN,taicotoxin,0.00212132,20.45727255,0.002408319,0.00083666,0.002167948,0.038874156,TRYPSIN,taicotoxin,1
TRYPSIN,trypsin_inhibitor,0.009343447,122.3731997,0.004393177,0.001140175,0.003898718,0.148040535,TRYPSIN,trypsin_inhibitor,1
TRYPSIN,trypsin_inhibitor_2,0.004549725,22.91724242,0.002607681,0.000547723,0.002073644,0.039002564,TRYPSIN,trypsin_inhibitor_2,1
TRYPSIN_II_ANIONIC,ecotin,0.007231874,149.2665401,0.003316625,0.001224745,0.00250998,0.109428972,TRYPSIN_II_ANIONIC,ecotin,1
TRYPSIN_II_ANIONIC,potato_cathepsin_d_inhibitor,0.234688517,33054.98482,0.24944338,0.107132161,0.22103778,2.536263334,TRYPSIN_II_ANIONIC,potato_cathepsin_d_inhibitor,0
