Protein 1,Protein 2,Max ipTM,Max LIS,Max LIA,Min Distance,Min SASA,Max Change in SASA Ratio
pepsin,Pepsin_1710,0.589,0.237,5811,8.3337345,0.66253977079411,5.313921806176692
pepsin,Pepsin_1814,0.516,0.188,4228,6.6322875,0.0,0.0
pepsin,Pepsin_1869,0.507,0.202,3599,7.4922123,0.0,0.0
pepsin,Pepsin_1890,0.535,0.219,4190,7.069565,0.0,0.0
pepsin,Pepsin_1979,0.548,0.208,4274,7.337336,0.0,0.0
pepsin,Pepsin_2001,0.835,0.543,7622,7.0356865,0.0,0.0
pepsin,Pepsin_2081,0.537,0.178,4829,9.491857,0.3008069498980897,2.412631936943293
pepsin,Pepsin_2208,0.605,0.277,5100,7.102892,0.0,0.0
pepsin,Pepsin_221,0.578,0.231,6013,7.978717,1.7405061399031136,13.95978617182478
pepsin,Pepsin_2221,0.543,0.227,4933,7.090976,0.0,0.0
pepsin,Pepsin_224,0.652,0.301,5777,7.113171,0.0,0.0
pepsin,Pepsin_2320,0.53,0.191,4819,8.016598,0.0,0.0
pepsin,Pepsin_2375,0.535,0.208,4563,7.7156115,0.0,0.0
pepsin,Pepsin_2565,0.508,0.177,4572,8.486329,4.7293986341307015,37.93229575016604
pepsin,Pepsin_405,0.547,0.229,4620,6.932892,0.0,0.0
pepsin,Pepsin_441,0.506,0.184,4107,7.8408318,0.0,0.0
pepsin,Pepsin_716,0.711,0.323,4626,7.239067,0.0,0.0
pepsin,Pepsin_770,0.526,0.219,4017,7.6263103,0.0,0.0
pepsin,Pepsin_840,0.597,0.25,5111,8.101867,2.186894114682405,17.540055459435393
pepsin,Pepsin_909,0.517,0.168,5301,8.822974,2.3293362571062,18.68251730114052
pepsin,S8B_1042,0.543,0.22,4757,8.166047,0.0,0.0
pepsin,S8B_1071,0.538,0.231,4263,6.939107,0.0,0.0
pepsin,S8B_1097,0.6,0.275,5358,7.4998455,0.3743043342038621,3.002120101089687
pepsin,S8B_1280,0.515,0.197,4486,9.083908,0.0,0.0
pepsin,S8B_1357,0.603,0.243,6185,7.0299697,0.0,0.0
pepsin,S8B_1414,0.535,0.208,4776,7.656795,0.0,0.0
pepsin,S8B_1664,0.528,0.205,5390,7.0104065,0.0,0.0
pepsin,S8B_1726,0.616,0.263,6310,6.521027,0.0,0.0
pepsin,S8B_1779,0.836,0.46,8615,6.81783,0.0,0.0
pepsin,S8B_1913,0.496,0.204,4185,6.815979,0.0,0.0
pepsin,S8B_2253,0.473,0.186,4263,6.461183,0.0,0.0
pepsin,S8B_2365,0.521,0.193,5226,7.98879,0.1380690929808078,1.1073876562464535
pepsin,S8B_2791,0.573,0.223,6004,7.4723105,0.0,0.0
pepsin,S8B_2829,0.542,0.227,3421,8.327897,0.1548893429459094,1.2422950188154431
pepsin,S8B_30,0.521,0.207,4466,7.084689,0.0,0.0
pepsin,S8B_3054,0.559,0.252,4009,7.0002537,0.0,0.0
pepsin,S8B_3165,0.596,0.253,5627,8.978199,5.197922220274885,41.6901044295387
pepsin,S8B_3196,0.567,0.226,5271,7.4816127,0.0,0.0
pepsin,S8B_512,0.629,0.285,4687,7.6342173,0.0,0.0
pepsin,S8B_517,0.573,0.244,4560,6.274784,0.0,0.0
pepsin,S8B_543,0.508,0.201,4347,11.254613,5.741267185111502,46.04802041314968
pepsin,S8B_544,0.55,0.213,4908,7.6346107,0.0,0.0
pepsin,S8B_69,0.529,0.193,4588,7.251036,0.0,0.0
pepsin,S8B_77,0.508,0.206,4238,7.077245,0.0,0.0
pepsin,S8B_884,0.585,0.235,4756,7.5299287,0.0,0.0
pepsin,Thermolysin_1,0.515,0.212,4713,6.8593497,0.0106836637792678,0.0856886732376309
pepsin,Thermolysin_1166,0.554,0.216,4325,7.896369,0.0,0.0
pepsin,Thermolysin_1225,0.728,0.33,5560,7.315689,0.0,0.0
pepsin,Thermolysin_1445,0.525,0.191,3911,8.577578,0.0,0.0
pepsin,Thermolysin_164,0.522,0.187,5095,6.6350174,0.0,0.0
pepsin,Thermolysin_1713,0.48,0.201,3974,7.24876,0.0,0.0
pepsin,Thermolysin_2182,0.531,0.204,4246,8.229879,1.4290375154327484,11.46164192679458
pepsin,Thermolysin_2311,0.691,0.322,6793,7.7459,0.0,0.0
pepsin,Thermolysin_3085,0.616,0.258,4337,7.5409923,0.0,0.0
pepsin,Thermolysin_3395,0.5,0.195,4689,8.377534,0.0,0.0
pepsin,Thermolysin_350,0.529,0.188,4220,7.5945845,0.0698596491300045,0.5603115907122597
pepsin,Thermolysin_358,0.549,0.203,3709,8.219439,0.577441226722118,4.631386162352566
pepsin,Thermolysin_420,0.575,0.239,3486,7.458763,0.0,0.0
pepsin,Thermolysin_63,0.613,0.27,4595,7.8385863,0.8114235236241978,6.508048793905982
pepsin,Thermolysin_777,0.438,0.169,3417,8.024695,0.0,0.0
pepsin,Trypsin_1567,0.559,0.2,5849,7.5869417,0.0,0.0
pepsin,Trypsin_2373,0.486,0.187,5028,7.072604,0.0,0.0
pepsin,Trypsin_2494,0.514,0.193,4051,7.072195,0.0,0.0
pepsin,Trypsin_2681,0.551,0.222,4366,7.356431,0.0,0.0
pepsin,Trypsin_3075,0.558,0.222,5387,8.109849,0.0,0.0
pepsin,Trypsin_3575,0.475,0.187,4080,7.6449156,0.8570337749966306,6.873867300261714
pepsin,Trypsin_4265,0.49,0.193,4679,6.2449217,0.0,0.0
pepsin,Trypsin_4530,0.5,0.214,4743,4.9338517,0.0,0.0
pepsin,Trypsin_4654,0.524,0.174,5262,6.6393714,0.0,0.0
pepsin,Trypsin_4901,0.584,0.232,4830,5.841554,0.0,0.0
pepsin,Trypsin_510,0.512,0.176,5019,6.782096,0.0,0.0
pepsin,Trypsin_735,0.599,0.297,5295,6.882102,0.0,0.0
pepsin,aspartic_peptide_inhibitor_1,0.594,0.243,3648,8.199072,0.0,0.0
pepsin,aspartic_peptide_inhibitor_2,0.663,0.303,3497,7.475403,0.0,0.0
pepsin,aspartic_peptide_inhibitor_3,0.611,0.252,3719,7.359934,0.0,0.0
pepsin,aspartic_peptide_inhibitor_4,0.76,0.402,5744,7.2223997,0.0,0.0
pepsin,aspartic_peptide_inhibitor_5,0.59,0.266,3722,7.2135234,0.0,0.0
pepsin,aspartic_peptide_inhibitor_6,0.945,0.652,5085,7.2206855,0.0,0.0
pepsin,aspin,0.88,0.583,89128,7.9086084,3.4040891536334783,27.302607905305408
pepsin,cp-113972,0.822,0.412,2253,6.9929123,0.0,0.0
pepsin,h-256_peptide,0.826,0.427,3766,6.9034204,0.0,0.0
pepsin,pepstatin_a,0.884,0.5,4026,6.9701157,0.0,0.0
pepsin,potato_cathepsin_d_inhibitor,0.238,0.007,3,10.208759,12.233131045109433,98.11622589917737
pepsin,saccharopepsin_inh,0.338,0.105,5017,10.210849,0.4720738108581152,3.786283372298004
pepsin,sqapi,0.789,0.42,44961,7.297382,0.0,0.0
